CB2020,CT2020,BCTCB2020,GEOID,OBJECTID,CTLabel,BoroCT2020,NAME,DP03_0128PE,precinct
"2015","062800","30628002015","360470628002015",2142,"628","3062800",,,"61"
"2016","062800","30628002016","360470628002016",2142,"628","3062800",,,"61"
"2017","062800","30628002017","360470628002017",2142,"628","3062800",,,"61"
"2018","062800","30628002018","360470628002018",2142,"628","3062800",,,"61"
"2019","062800","30628002019","360470628002019",2142,"628","3062800",,,"61"
"2020","062800","30628002020","360470628002020",2142,"628","3062800",,,"61"
"2021","062800","30628002021","360470628002021",2142,"628","3062800",,,"61"
"2022","062800","30628002022","360470628002022",2142,"628","3062800",,,"61"
"2023","062800","30628002023","360470628002023",2142,"628","3062800",,,"61"
"2024","062800","30628002024","360470628002024",2142,"628","3062800",,,"61"
"2025","062800","30628002025","360470628002025",2142,"628","3062800",,,"61"
"2026","062800","30628002026","360470628002026",2142,"628","3062800",,,"61"
"2027","062800","30628002027","360470628002027",2142,"628","3062800",,,"61"
"2028","062800","30628002028","360470628002028",2142,"628","3062800",,,"61"
"2030","062800","30628002030","360470628002030",2142,"628","3062800",,,"61"
"2031","062800","30628002031","360470628002031",2142,"628","3062800",,,"61"
"2032","062800","30628002032","360470628002032",2142,"628","3062800",,,"61"
"2033","062800","30628002033","360470628002033",2142,"628","3062800",,,"61"
"3000","038200","30382003000","360470382003000",1555,"382","3038200",,,"61"
"3000","038800","30388003000","360470388003000",1559,"388","3038800",,,"61"
"3000","039400","30394003000","360470394003000",1564,"394","3039400",,,"61"
"3000","040000","30400003000","360470400003000",1569,"400","3040000",,,"61"
"3000","040200","30402003000","360470402003000",1571,"402","3040200",,,"61"
"3000","042200","30422003000","360470422003000",1592,"422","3042200",,,"61"
"3000","055000","30550003000","360470550003000",1697,"550","3055000",,,"61"
"3000","055200","30552003000","360470552003000",2227,"552","4055200",,,"61"
"3000","055400","30554003000","360470554003000",1700,"554","3055400",,,"61"
"3000","055600","30556003000","360470556003000",1701,"556","3055600",,,"61"
"3000","056000","30560003000","360470560003000",1704,"560","3056000",,,"61"
"3000","056400","30564003000","360470564003000",2057,"564","4056400",,,"61"
"3000","057000","30570003000","360470570003000",1713,"570","3057000",,,"61"
